German,English,Example 1 (DE),Example 1 (EN),Example 2 (DE),Example 2 (EN)
die Weisheit,wisdom,"Die Philosophie suchte nach der tieferen Bedeutung der Welt und der menschlichen Existenz, um zu einer tiefgreifenden Erkenntnis von der Weisheit zu gelangen.",Philosophy sought a deeper meaning of the world and human existence to gain profound insight into wisdom.,"Mein Opa hat viel Weisheit in seinem Leben gesammelt, aber leider nicht geschrieben.","My grandfather has collected much wisdom in his life, but unfortunately not written it down."
durch Fehler lernen,to learn from mistakes,"Der Chef hat gelernt, durch Fehler zu lernen und sich nicht so leicht entmutigen zu lassen.",The boss has learned to learn from his mistakes and not get discouraged easily.,"Ich habe durch Fehler gelernt, dass manche Dinge besser nicht versuchen sollte.",I have learned through mistakes that some things are better left untried.
durch Traditionen lernen,to learn through traditions,"Die Schüler haben durch Traditionen gelernt, wie man ein traditionelles Fest feiert.",The students learned through traditions how to celebrate a traditional festival.,"Ich habe durch meine Großeltern gelernt, was es bedeutet, traditionell zu kochen.",I learned from my grandparents what it means to cook traditionally.
Erfahrungen sammeln,to gain experience,Durch seine Arbeit im Ausland hat er viele Erfahrungen gesammelt.,"Through his work abroad, he has gained a lot of experience.","Ich habe in der Schule viel Erfahrung sammeln können, indem ich verschiedene Projekte gemacht habe.",I was able to gain a lot of experience at school by doing various projects.
folglich,"therefore, consequently","Der Wetterbericht warnte vor heftigen Regen, folglich nahm ich meinen Regenschirm mit.","The weather forecast warned of heavy rain, so I took my umbrella with me.","""Wir sind spät dran"", sagte mein Vater, folglich beschleunigten wir unsere Schritte.","""We're running late,"" said my father, so we quickened our pace."
infolge + Genitiv,"due to, in consequence of",Die Verspätung war infolge des Unwetters.,The delay was due to the bad weather.,"Ich bin krank geworden, weil ich mich nicht richtig umziehe, infolge meiner Mutter.","I got sick because I didn't dress properly, in consequence of my mother."
infolge von + Dativ,"due to, in consequence of",Die Verspätung war infolge von einem Unfall auf der Autobahn.,The delay was due to an accident on the highway.,"Ich bin krank geworden, weil ich infolge von Stress zu wenig geschlafen habe.",I got sick because I didn't sleep enough due to stress.
infolgedessen,"therefore, consequently",Infolgedessen wurde der Flug nach Paris gestrichen.,Therefore the flight to Paris was cancelled.,"Ich bin spät drangekommen, infolgedessen habe ich mein Treffen verpasst.","I arrived late, consequently I missed my appointment."
kritisch denken,to think critically,Die Studenten sollen kritisch über die politischen Ereignisse nachdenken.,The students should think critically about the political events.,"Ich denke, dass wir kritisch denken sollten, bevor wir eine Entscheidung treffen.",I think we should think critically before making a decision.
Neugier,curiosity,Die Kinder haben eine große Neugier für die Naturwissenschaften.,The children have a great curiosity for natural sciences.,"Ich habe so viel Neugier, dass ich den ganzen Tag fernsehen will.",I'm so curious that I want to watch TV all day.
sich selbst reflektieren,"to reflect on oneself, self-reflection",Durch die Selbstreflexion hat sie ihre Stärken und Schwächen erkannt.,Through self-reflection she has recognized her strengths and weaknesses.,"Ich muss mich selbst reflektieren, warum ich so frustriert bin.",I need to reflect on myself why I'm so frustrated.
"solch ..., dass",such that,"Ich habe mich für ein Studium entschieden, das solche Ausgaben nicht rechtfertigt.",I have decided on a course of study that does not justify such expenses.,"Ich will einen Job haben, der mir Freiraum gibt, solchen Stress zu vermeiden.",I want a job that gives me space to avoid such stress.
somit,"thus, consequently, therefore","Wir haben uns entschieden, nach Berlin zu reisen, und somit müssen wir unsere Tickets kaufen.",We have decided to travel to Berlin and so we need to buy our tickets.,"Ich habe mein Auto verloren, somit muss ich jetzt mit dem Bus fahren.","I lost my car, therefore I have to take the bus now."
ständig arbeiten,"to work constantly, to be working all the time","Der Student arbeitet ständig an seinem Projekt, um es rechtzeitig abzuschließen.",The student is constantly working on his project in order to finish it on time.,Ich arbeite ständig und habe keine Zeit für Freunde.,I'm always working and have no time for friends.
vergleichen,to compare,Die Forscher haben die Daten verglichen und ein Ergebnis gefunden.,The researchers have compared the data and found a result.,"Ich kann nicht zwischen den beiden Autos entscheiden, sie sind beide gleich teuer.","I can't decide between the two cars, they're both equally expensive."
